timestamp,longitude,latitude,stepcount
1711469040,24.81964041666667,60.18752875,92
1711469050,24.819457,60.187571500000004,110
1711469060,24.81921433333333,60.187563,130
1711469070,24.818995166666664,60.18747183333333,148
1711469080,24.8187705,60.18749683333333,168
1711469090,24.818481333333335,60.18749816666666,186
1711469100,24.8183025,60.18737316666667,206
1711469110,24.818221333333334,60.1873065,224
1711469120,24.818057333333336,60.18733983333334,244
1711469130,24.817733666666665,60.187345500000006,262
1711469140,24.81744066666667,60.18732449999999,282
1711469150,24.817374666666666,60.18717066666667,302
1711469160,24.817221166666666,60.18708899999999,322
1711469170,24.81710933333333,60.186980666666656,340
1711469180,24.817344833333333,60.186891333333335,358
1711469190,24.817606166666668,60.18687,378
1711469200,24.81789166666666,60.186856999999996,396
1711469210,24.818118833333333,60.186831500000004,416
1711469220,24.818370666666667,60.186798499999995,434
1711469230,24.818643333333334,60.18676750000001,452
1711469240,24.81890083333333,60.18674333333333,472
1711469250,24.819172666666667,60.186716666666676,490
1711469260,24.819424333333334,60.186733833333335,508
1711469270,24.819608000000002,60.18671666666667,518
